2025-10-01T11:58:00.487770,(2(0)-1759345080:487770),CDHDeployment.systemResources.CPU_03,18952,10.20 percent
2025-10-01T11:58:00.487774,(2(0)-1759345080:487774),CDHDeployment.systemResources.CPU,18948,13.62 percent
2025-10-01T11:58:00.487795,(2(0)-1759345080:487795),CDHDeployment.systemResources.MEMORY_TOTAL,18944,426836 KB
2025-10-01T11:58:00.487800,(2(0)-1759345080:487800),CDHDeployment.systemResources.MEMORY_USED,18945,118372 KB
2025-10-01T11:58:00.487822,(2(0)-1759345080:487822),CDHDeployment.systemResources.NON_VOLATILE_FREE,18947,55507608 KB
2025-10-01T11:58:00.487825,(2(0)-1759345080:487825),CDHDeployment.systemResources.NON_VOLATILE_TOTAL,18946,60785600 KB
2025-10-01T11:58:00.487908,(2(0)-1759345080:487908),CDHDeployment.comQueue.comQueueDepth,1792,['1', '1']
2025-10-01T11:58:00.487917,(2(0)-1759345080:487917),CDHDeployment.comQueue.buffQueueDepth,1793,['0']
2025-10-01T11:58:01.485189,(2(0)-1759345081:485189),CDHDeployment.systemResources.CPU_00,18949,11.34 percent
2025-10-01T11:58:01.486022,(2(0)-1759345081:486022),CDHDeployment.systemResources.CPU_01,18950,21.21 percent
2025-10-01T11:58:01.486924,(2(0)-1759345081:486924),CDHDeployment.systemResources.CPU_02,18951,19.00 percent
2025-10-01T11:58:01.487989,(2(0)-1759345081:487989),CDHDeployment.systemResources.CPU_03,18952,9.09 percent
2025-10-01T11:58:01.487994,(2(0)-1759345081:487994),CDHDeployment.systemResources.CPU,18948,15.16 percent
2025-10-01T11:58:01.488014,(2(0)-1759345081:488014),CDHDeployment.systemResources.MEMORY_TOTAL,18944,426836 KB
2025-10-01T11:58:01.488021,(2(0)-1759345081:488021),CDHDeployment.systemResources.MEMORY_USED,18945,118228 KB
2025-10-01T11:58:01.488051,(2(0)-1759345081:488051),CDHDeployment.systemResources.NON_VOLATILE_FREE,18947,55507608 KB
2025-10-01T11:58:01.488054,(2(0)-1759345081:488054),CDHDeployment.systemResources.NON_VOLATILE_TOTAL,18946,60785600 KB
2025-10-01T11:58:01.488415,(2(0)-1759345081:488415),CDHDeployment.rateGroup1.RgMaxTime,512,4780 us
2025-10-01T11:58:01.488160,(2(0)-1759345081:488160),CDHDeployment.comQueue.comQueueDepth,1792,['1', '1']
2025-10-01T11:58:01.488169,(2(0)-1759345081:488169),CDHDeployment.comQueue.buffQueueDepth,1793,['0']
2025-10-01T11:58:02.484924,(2(0)-1759345082:484924),CDHDeployment.systemResources.CPU_00,18949,11.34 percent
2025-10-01T11:58:02.485724,(2(0)-1759345082:485724),CDHDeployment.systemResources.CPU_01,18950,19.79 percent
2025-10-01T11:58:02.486623,(2(0)-1759345082:486623),CDHDeployment.systemResources.CPU_02,18951,11.22 percent
2025-10-01T11:58:02.487716,(2(0)-1759345082:487716),CDHDeployment.systemResources.CPU_03,18952,11.46 percent
2025-10-01T11:58:02.487721,(2(0)-1759345082:487721),CDHDeployment.systemResources.CPU,18948,13.45 percent
2025-10-01T11:58:02.487741,(2(0)-1759345082:487741),CDHDeployment.systemResources.MEMORY_TOTAL,18944,426836 KB
2025-10-01T11:58:02.487746,(2(0)-1759345082:487746),CDHDeployment.systemResources.MEMORY_USED,18945,116540 KB
2025-10-01T11:58:02.487768,(2(0)-1759345082:487768),CDHDeployment.systemResources.NON_VOLATILE_FREE,18947,55507608 KB
2025-10-01T11:58:02.487771,(2(0)-1759345082:487771),CDHDeployment.systemResources.NON_VOLATILE_TOTAL,18946,60785600 KB
2025-10-01T11:58:02.487861,(2(0)-1759345082:487861),CDHDeployment.comQueue.comQueueDepth,1792,['1', '1']
2025-10-01T11:58:02.487870,(2(0)-1759345082:487870),CDHDeployment.comQueue.buffQueueDepth,1793,['0']
2025-10-01T11:58:03.485079,(2(0)-1759345083:485079),CDHDeployment.systemResources.CPU_00,18949,13.54 percent
2025-10-01T11:58:03.485911,(2(0)-1759345083:485911),CDHDeployment.systemResources.CPU_01,18950,15.62 percent
2025-10-01T11:58:03.486837,(2(0)-1759345083:486837),CDHDeployment.systemResources.CPU_02,18951,11.22 percent
2025-10-01T11:58:03.487934,(2(0)-1759345083:487934),CDHDeployment.systemResources.CPU_03,18952,14.29 percent
2025-10-01T11:58:03.487939,(2(0)-1759345083:487939),CDHDeployment.systemResources.CPU,18948,13.67 percent
2025-10-01T11:58:03.487964,(2(0)-1759345083:487964),CDHDeployment.systemResources.MEMORY_TOTAL,18944,426836 KB
2025-10-01T11:58:03.487969,(2(0)-1759345083:487969),CDHDeployment.systemResources.MEMORY_USED,18945,117520 KB
2025-10-01T11:58:03.488002,(2(0)-1759345083:488002),CDHDeployment.systemResources.NON_VOLATILE_FREE,18947,55507608 KB
2025-10-01T11:58:03.488006,(2(0)-1759345083:488006),CDHDeployment.systemResources.NON_VOLATILE_TOTAL,18946,60785600 KB
2025-10-01T11:58:03.488826,(2(0)-1759345083:488826),CDHDeployment.rateGroup1.RgMaxTime,512,5189 us
2025-10-01T11:58:03.488137,(2(0)-1759345083:488137),CDHDeployment.comQueue.comQueueDepth,1792,['1', '1']
2025-10-01T11:58:03.488150,(2(0)-1759345083:488150),CDHDeployment.comQueue.buffQueueDepth,1793,['0']
2025-10-01T11:58:03.484333,(2(0)-1759345083:484333),CDHDeployment.rateGroup3.RgMaxTime,1024,701 us
2025-10-01T11:58:04.484942,(2(0)-1759345084:484942),CDHDeployment.systemResources.CPU_00,18949,13.40 percent
2025-10-01T11:58:04.485747,(2(0)-1759345084:485747),CDHDeployment.systemResources.CPU_01,18950,17.89 percent
2025-10-01T11:58:04.486821,(2(0)-1759345084:486821),CDHDeployment.systemResources.CPU_02,18951,11.11 percent
2025-10-01T11:58:04.487886,(2(0)-1759345084:487886),CDHDeployment.systemResources.CPU_03,18952,13.13 percent
2025-10-01T11:58:04.487890,(2(0)-1759345084:487890),CDHDeployment.systemResources.CPU,18948,13.88 percent
2025-10-01T11:58:04.487916,(2(0)-1759345084:487916),CDHDeployment.systemResources.MEMORY_TOTAL,18944,426836 KB
2025-10-01T11:58:04.487921,(2(0)-1759345084:487921),CDHDeployment.systemResources.MEMORY_USED,18945,119880 KB
2025-10-01T11:58:04.487947,(2(0)-1759345084:487947),CDHDeployment.systemResources.NON_VOLATILE_FREE,18947,55507608 KB
2025-10-01T11:58:04.487951,(2(0)-1759345084:487951),CDHDeployment.systemResources.NON_VOLATILE_TOTAL,18946,60785600 KB
2025-10-01T11:58:04.488054,(2(0)-1759345084:488054),CDHDeployment.comQueue.comQueueDepth,1792,['1', '1']
2025-10-01T11:58:04.488066,(2(0)-1759345084:488066),CDHDeployment.comQueue.buffQueueDepth,1793,['0']
2025-10-01T11:58:05.484940,(2(0)-1759345085:484940),CDHDeployment.systemResources.CPU_00,18949,13.40 percent
2025-10-01T11:58:05.485745,(2(0)-1759345085:485745),CDHDeployment.systemResources.CPU_01,18950,18.18 percent
2025-10-01T11:58:05.486654,(2(0)-1759345085:486654),CDHDeployment.systemResources.CPU_02,18951,17.35 percent
2025-10-01T11:58:05.487721,(2(0)-1759345085:487721),CDHDeployment.systemResources.CPU_03,18952,11.11 percent
2025-10-01T11:58:05.487726,(2(0)-1759345085:487726),CDHDeployment.systemResources.CPU,18948,15.01 percent
2025-10-01T11:58:05.487751,(2(0)-1759345085:487751),CDHDeployment.systemResources.MEMORY_TOTAL,18944,426836 KB
2025-10-01T11:58:05.487755,(2(0)-1759345085:487755),CDHDeployment.systemResources.MEMORY_USED,18945,119036 KB
2025-10-01T11:58:05.487782,(2(0)-1759345085:487782),CDHDeployment.systemResources.NON_VOLATILE_FREE,18947,55507608 KB
2025-10-01T11:58:05.487786,(2(0)-1759345085:487786),CDHDeployment.systemResources.NON_VOLATILE_TOTAL,18946,60785600 KB
2025-10-01T11:58:05.487889,(2(0)-1759345085:487889),CDHDeployment.comQueue.comQueueDepth,1792,['1', '1']
2025-10-01T11:58:05.487899,(2(0)-1759345085:487899),CDHDeployment.comQueue.buffQueueDepth,1793,['0']
2025-10-01T11:58:06.484971,(2(0)-1759345086:484971),CDHDeployment.systemResources.CPU_00,18949,12.12 percent
