[2025-11-05 19:14:13,519] [INFO] root: Logging system initialized!
[2025-11-05 19:14:13,521] [INFO] comm: Starting uplinker/downlinker connecting to FSW using ip with space-packet-space-data-link
[2025-11-05 19:14:13,523] [INFO] udp_handler: Client connected to 192.168.1.11:50000
[2025-11-05 19:14:13,526] [INFO] transport: Incoming binding to: ipc:///tmp/fprime-server-in
[2025-11-05 19:14:13,695] [INFO] tcp_handler: Client connected to 192.168.1.11:50000
[2025-11-05 19:14:14,024] [INFO] transport: Outgoing binding to: ipc:///tmp/fprime-server-out
[2025-11-05 20:29:07,832] [WARNING] tcp_handler: Read failure attempting reconnection. OSError: [Errno 113] No route to host
[2025-11-05 20:35:29,075] [WARNING] tcp_handler: Failed to open socket at 192.168.1.11:50000, retrying: OSError: [Errno 113] No route to host
[2025-11-05 20:35:33,139] [WARNING] tcp_handler: Failed to open socket at 192.168.1.11:50000, retrying: OSError: [Errno 113] No route to host
[2025-11-05 20:35:37,203] [WARNING] tcp_handler: Failed to open socket at 192.168.1.11:50000, retrying: OSError: [Errno 113] No route to host
[2025-11-05 20:35:41,267] [WARNING] tcp_handler: Failed to open socket at 192.168.1.11:50000, retrying: OSError: [Errno 113] No route to host
[2025-11-05 20:35:48,016] [WARNING] tcp_handler: Failed to open socket at 192.168.1.11:50000, retrying: OSError: [Errno 113] No route to host
[2025-11-05 20:35:52,080] [WARNING] tcp_handler: Failed to open socket at 192.168.1.11:50000, retrying: OSError: [Errno 113] No route to host
[2025-11-05 20:35:56,144] [WARNING] tcp_handler: Failed to open socket at 192.168.1.11:50000, retrying: OSError: [Errno 113] No route to host
[2025-11-05 20:36:00,208] [WARNING] tcp_handler: Failed to open socket at 192.168.1.11:50000, retrying: OSError: [Errno 113] No route to host
[2025-11-05 20:36:04,272] [WARNING] tcp_handler: Failed to open socket at 192.168.1.11:50000, retrying: OSError: [Errno 113] No route to host
[2025-11-05 20:36:08,336] [WARNING] tcp_handler: Failed to open socket at 192.168.1.11:50000, retrying: OSError: [Errno 113] No route to host
[2025-11-05 20:36:12,400] [WARNING] tcp_handler: Failed to open socket at 192.168.1.11:50000, retrying: OSError: [Errno 113] No route to host
[2025-11-05 20:36:16,464] [WARNING] tcp_handler: Failed to open socket at 192.168.1.11:50000, retrying: OSError: [Errno 113] No route to host
[2025-11-05 20:36:23,037] [WARNING] tcp_handler: Failed to open socket at 192.168.1.11:50000, retrying: OSError: [Errno 113] No route to host
[2025-11-05 20:36:27,101] [WARNING] tcp_handler: Failed to open socket at 192.168.1.11:50000, retrying: OSError: [Errno 113] No route to host
[2025-11-05 20:36:31,165] [WARNING] tcp_handler: Failed to open socket at 192.168.1.11:50000, retrying: OSError: [Errno 113] No route to host
[2025-11-05 20:36:35,230] [WARNING] tcp_handler: Failed to open socket at 192.168.1.11:50000, retrying: OSError: [Errno 113] No route to host
[2025-11-05 20:36:39,294] [WARNING] tcp_handler: Failed to open socket at 192.168.1.11:50000, retrying: OSError: [Errno 113] No route to host
[2025-11-05 20:36:43,357] [WARNING] tcp_handler: Failed to open socket at 192.168.1.11:50000, retrying: OSError: [Errno 113] No route to host
[2025-11-05 20:36:47,421] [WARNING] tcp_handler: Failed to open socket at 192.168.1.11:50000, retrying: OSError: [Errno 113] No route to host
[2025-11-05 20:36:51,485] [WARNING] tcp_handler: Failed to open socket at 192.168.1.11:50000, retrying: OSError: [Errno 113] No route to host
[2025-11-05 20:36:58,039] [WARNING] tcp_handler: Failed to open socket at 192.168.1.11:50000, retrying: OSError: [Errno 113] No route to host
[2025-11-05 20:37:02,103] [WARNING] tcp_handler: Failed to open socket at 192.168.1.11:50000, retrying: OSError: [Errno 113] No route to host
[2025-11-05 20:37:06,167] [WARNING] tcp_handler: Failed to open socket at 192.168.1.11:50000, retrying: OSError: [Errno 113] No route to host
[2025-11-05 20:37:10,231] [WARNING] tcp_handler: Failed to open socket at 192.168.1.11:50000, retrying: OSError: [Errno 113] No route to host
[2025-11-05 20:37:14,295] [WARNING] tcp_handler: Failed to open socket at 192.168.1.11:50000, retrying: OSError: [Errno 113] No route to host
[2025-11-05 20:37:18,359] [WARNING] tcp_handler: Failed to open socket at 192.168.1.11:50000, retrying: OSError: [Errno 113] No route to host
[2025-11-05 20:37:22,423] [WARNING] tcp_handler: Failed to open socket at 192.168.1.11:50000, retrying: OSError: [Errno 113] No route to host
[2025-11-05 20:37:26,486] [WARNING] tcp_handler: Failed to open socket at 192.168.1.11:50000, retrying: OSError: [Errno 113] No route to host
[2025-11-05 20:37:33,345] [WARNING] tcp_handler: Failed to open socket at 192.168.1.11:50000, retrying: OSError: [Errno 113] No route to host
[2025-11-05 20:37:37,408] [WARNING] tcp_handler: Failed to open socket at 192.168.1.11:50000, retrying: OSError: [Errno 113] No route to host
[2025-11-05 20:37:41,472] [WARNING] tcp_handler: Failed to open socket at 192.168.1.11:50000, retrying: OSError: [Errno 113] No route to host
[2025-11-05 20:37:45,536] [WARNING] tcp_handler: Failed to open socket at 192.168.1.11:50000, retrying: OSError: [Errno 113] No route to host
[2025-11-05 20:37:49,600] [WARNING] tcp_handler: Failed to open socket at 192.168.1.11:50000, retrying: OSError: [Errno 113] No route to host
[2025-11-05 20:37:53,664] [WARNING] tcp_handler: Failed to open socket at 192.168.1.11:50000, retrying: OSError: [Errno 113] No route to host
[2025-11-05 20:37:57,728] [WARNING] tcp_handler: Failed to open socket at 192.168.1.11:50000, retrying: OSError: [Errno 113] No route to host
[2025-11-05 20:38:01,792] [WARNING] tcp_handler: Failed to open socket at 192.168.1.11:50000, retrying: OSError: [Errno 113] No route to host
[2025-11-05 20:38:08,330] [WARNING] tcp_handler: Failed to open socket at 192.168.1.11:50000, retrying: OSError: [Errno 113] No route to host
[2025-11-05 20:38:12,394] [WARNING] tcp_handler: Failed to open socket at 192.168.1.11:50000, retrying: OSError: [Errno 113] No route to host
[2025-11-05 20:38:16,458] [WARNING] tcp_handler: Failed to open socket at 192.168.1.11:50000, retrying: OSError: [Errno 113] No route to host
[2025-11-05 20:38:20,522] [WARNING] tcp_handler: Failed to open socket at 192.168.1.11:50000, retrying: OSError: [Errno 113] No route to host
[2025-11-05 20:38:24,586] [WARNING] tcp_handler: Failed to open socket at 192.168.1.11:50000, retrying: OSError: [Errno 113] No route to host
[2025-11-05 20:38:28,650] [WARNING] tcp_handler: Failed to open socket at 192.168.1.11:50000, retrying: OSError: [Errno 113] No route to host
[2025-11-05 20:38:32,714] [WARNING] tcp_handler: Failed to open socket at 192.168.1.11:50000, retrying: OSError: [Errno 113] No route to host
